distReculVoirie,distReculFond,distReculLat,maximalCES,hIniRoad,slopeRoad,hauteurMax,seed,energy,coverageRatio,gini,moran,entropy,boxCount,maxHeight,densite,moranProfile
10.0,1.3201655943851165,2.1603509993715866,0.3742348310828824,14.002261785952369,2.3758349215134196,22.84939007352377,4229155182759727390,-71218.99781798657,0.29357625672208865,0.21241670726131648,0.005988183950195213,NaN,20.0,22.849389,2.2360040931369456,0.35921508641165767
10.0,1.3201655943851165,2.1603509993715866,0.3742348310828824,14.002261785952369,2.3758349215134196,22.84939007352377,-7240203332018251643,-69957.20744388651,0.29018383031746964,0.22139761278832087,-0.026464325260800503,NaN,19.0,22.849382557,2.2101647837150318,0.35777947116567055
0.0,9.60957510056582,4.2783380989853645,0.7427802759385996,6.213898175744414,0.7479564462915035,24.0,1641486693396728669,-29208.579391417567,0.2953685572066156,0.4197252537228807,0.06720249950939422,NaN,20.0,19.200223742,0.9357899059908613,0.3683228232044092
0.0,6.700461473352302,0.42346185813439763,0.6520312017558467,9.364391120680182,0.5,14.759915806320855,-463374355843395153,-74232.12936173922,0.597537210570142,0.09095319640622664,0.03965923104424437,NaN,35.0,14.7598754216,2.3414299796489884,0.30277004900094934
0.6819223739314315,8.570925010740952,0.013670586598266164,0.8565466137095494,15.0,0.8775392017435255,17.59029987776998,7451612037102331694,-111704.89738655671,0.6326000543362312,0.11391210364298748,0.03515571637443414,NaN,33.0,17.5902923571,3.5290850541393675,0.3637354388886043
3.8191932504395587,7.593060145992886,3.4150267666142833,0.42383616465943064,3.317030603502591,3.0,21.494736730985984,7767189499049898271,-51433.38918533735,0.24826571408835882,0.2964333463677677,0.07312739103003846,NaN,17.0,21.4946752038,1.6390958088947287,0.28847073160967096
8.64606802679529,0.027508558111294594,1.6994552627010895,0.31879771611703595,6.266968237595671,1.1948563843392428,15.910673953350557,1739298734484770930,-44132.84043105212,0.2612480294675818,0.17648402132416033,-0.008504886900659923,NaN,19.0,15.9106715302,1.3855329729175547,0.3596082096375702
0.0018218750368658096,3.1939104182023,0.5978736785526515,0.9611753656316715,2.45441735301239,0.9773949671332627,12.884159812651816,500430408095803326,-71479.77903442857,0.7038581917503417,0.10305343853641233,6.08723137758603E-4,NaN,50.0,12.8841596356,2.2768508114120283,0.3685658944697187
0.44579329317628974,0.0,0.0,0.9612973645222156,4.2572030963804846,1.1239033763621848,6.0,7989112634157443113,-59860.50180563477,0.8978719945231977,0.011274944366474467,0.014168141621033439,NaN,46.0,5.9999928139,1.8992821273487082,0.36774638066838633
2.543548991123477,9.901948591085803,1.7600333228499743,0.7570124627166703,15.0,2.9604398657772357,17.76833498470372,5884309194940601903,-82961.5826131968,0.44361980435647996,0.15151424562623242,0.053479997457298624,NaN,28.0,17.7683315762,2.627508252300391,0.2267917885856714
0.008945081820417993,8.256141391980115,1.8405555781606924,1.0,0.4970891093340473,1.1662196183167752,24.0,524846400801013012,-48319.65464037516,0.404286909632579,0.26196898602487284,0.01240527125979698,NaN,37.0,23.9999810537,1.5514395800264997,0.327624242300367
5.986074362220295,3.5970465288281734,0.0,0.9566259005941875,5.216199084639521,0.8211990388363217,12.932731945175796,7113948262819680579,-84330.0159683519,0.6131229488286845,0.09401563186551067,-0.005274704785550919,NaN,41.0,12.9327292711,2.698862082508909,0.4274683458474971
2.758959772720777,10.0,2.500653603911897,1.0,4.010752744257424,0.8083148084866275,18.183731154606306,4831365070162255409,-31461.406902750117,0.29566585707330406,0.31612923568005574,0.050485984894605936,NaN,22.0,18.1836990942,0.9971593159075219,0.35736894643813394
5.6622543515050126,0.0,3.8542852076808405,1.0,15.0,2.0913612038334857,23.978451413409093,-2495493908782417958,-80182.6976441918,0.31329493308016065,0.3576647768766777,0.03192710582060825,NaN,19.0,23.9784485916,2.551845839211633,0.3764162378983221
5.988817638825727,3.2317617905520724,2.3499391777071508,0.3,8.59660445565734,2.769699447697082,13.205028831184665,3120585378178770450,-35429.938688224516,0.25309049692162233,0.15636325139876123,-0.021536629264590226,NaN,18.0,13.20502727,1.1140187791199718,0.28037274078102653
0.322265625,0.2785821273602004,2.0982157252129547,0.4417127782898892,9.352289848490722,1.1598637697318415,19.70677111124155,-3081909097791032974,-81564.72479166572,0.4203509789186485,0.09149690025613205,-0.01823086152094133,NaN,26.0,19.7067702843,2.557217281742571,0.25855020526004036
1.021064694090288,3.7547987185526175,2.996991870083008,0.7966257401417013,2.1658101407295485,0.7104844934100047,24.0,4822415963284231959,-39571.883707203466,0.3891452340497579,0.3037254988267408,0.015387141590574447,NaN,32.0,23.8995504646,1.27102566995873,0.338321804600657
8.975319447673682,1.5845749562049831,0.10307691683336304,1.0,0.0,1.1454450680656283,24.0,-2624638127433347988,-89046.77351469717,0.502372542164592,0.24428789026752232,-0.016578671534296825,NaN,32.0,23.999988463,2.8315077447331625,0.43030148231980664
0.0,9.035726041147003,0.5334261485745261,0.8157624393334717,13.299734939478768,2.486557504899726,17.881359799435316,2516657191214003645,-110768.67296823778,0.6159292113163728,0.1130702600423277,0.039530862923552464,NaN,36.0,17.8813531118,3.49402088632409,0.2678032629835229
0.0,7.844998602912074,1.0809463412605376,0.9906319876454541,14.961732914792245,1.5727797045892349,16.32729032848715,-4494028898393121974,-107661.95732904927,0.6484073828434652,0.11076911477126467,0.043569526570841254,NaN,32.0,16.3272878756,3.3963216233451115,0.21100146447419238
