idparcel,centerx, centery, length, width, height, orientation
1, 1051168.414531431, 6840617.407609299, 9.267041050949366, 12.927254613125092, 23.534053259553467, 2.779964129899925
2, 1051152.2808511525, 6840616.512978405, 19.418728327136275, 10.673479474901852, 23.533839993151286, 1.2335513154984605
2, 1051134.5213578993, 6840609.398657263, 7.793723699832837, 14.217977808080464, 23.533737550490176, 1.2156439502808456
3, 1051086.688167546, 6840604.217845414, 17.767681088061188, 10.432939806523322, 23.533996245619917, 1.2302587225075716
4, 1051070.0270506323, 6840606.203915764, 12.457030009565964, 6.434064354651823, 23.534005371790848, 1.1058169721834745
5, 1051118.4990639747, 6840637.250676427, 19.97068476547723, 7.414592947155678, 23.533988877692984, 1.1586697249806284
5, 1051111.1619209498, 6840620.25869957, 6.559076406056435, 7.571979775903422, 23.53398595968756, 2.7591401352923994
6, 1051155.9431232489, 6840575.588482253, 8.738417918093733, 14.559440396813958, 23.534028652173394, 0.985336737894388
6, 1051162.794971729, 6840596.3733319305, 8.973875030633746, 11.045972852537409, 23.534038505489562, 1.3072300479176477
6, 1051160.942103128, 6840585.325504504, 6.854356086238514, 9.502541500715754, 23.53360991770643, 1.4464043838419116
7, 1051131.4056749875, 6840586.657594234, 19.76706996790232, 15.705842865766709, 23.533963892995832, 2.797874980973035
8, 1051105.1757309374, 6840597.009001677, 13.68684600582969, 13.240329213567101, 23.533815821726115, 1.2641157087745531
9, 1051181.8449377713, 6840580.859127622, 17.440371566130302, 19.517197016121244, 23.53392985993947, 2.7205021708897332
11, 1051139.8547644324, 6840629.075817868, 8.855237111757278, 13.79651526782147, 23.533597653067055, 2.7264524059382516
12, 1051094.3399464858, 6840650.164284035, 16.585354169924262, 7.3707948256398, 23.534044350473515, 1.1388312584440798
14, 1051106.9052936381, 6840645.610255353, 8.435098776050761, 13.154707189952404, 23.53363755254779, 2.7073170268564346
15, 1051195.532674742, 6840604.650538, 12.831460681287489, 8.896527679790243, 23.534024481368718, 1.2296780632121358
16, 1051182.7610570854, 6840610.833856208, 9.466416139224101, 12.68061811327557, 23.53400232180666, 2.7104811936799584
17, 1051091.2745195318, 6840621.268336822, 17.923640715600133, 6.829536822056044, 23.53407789027287, 2.7910069218102933
18, 1051128.289116038, 6840632.442497648, 6.617114277631609, 19.999964701381646, 23.533853477710764, 2.720987689256142
