idparcel,centerx, centery, length, width, height, orientation
0, 1051204.5557139067, 6840583.256429938, 12.183919658965607, 15.413106962607593, 6.359881170576406, 2.7027716922255216
0, 1051212.1345651927, 6840599.058177361, 11.749745790745447, 15.960706388835199, 6.35989741599532, 2.6945574856776564
1, 1051171.4290706562, 6840623.461562558, 13.196948717231024, 15.799340640591023, 6.359863868896523, 2.739746686314755
2, 1051156.797559561, 6840629.4285234455, 17.642180386805293, 14.429894642088632, 6.359810282234415, 1.1430722238732505
2, 1051154.825928062, 6840612.839423516, 6.27218974525602, 19.795083698121793, 6.359798989466624, 2.8085481272108863
3, 1051090.1658056902, 6840603.519746079, 19.667636044633216, 9.9781928348639, 6.35988932168244, 1.2839221723738743
3, 1051079.1161472346, 6840599.190469115, 7.172964488904735, 19.175413576833837, 6.359826477305049, 2.850288692370385
4, 1051067.1802863807, 6840603.258752678, 16.10729987136045, 10.064157420725167, 6.359855365194035, 1.0801981604373365
4, 1051070.6950560345, 6840614.891194484, 13.883298372916986, 7.3771018608134185, 6.359898666062392, 2.6843295852337237
5, 1051121.4746318727, 6840646.515459569, 16.096284183623393, 11.977886683649402, 6.359879036591515, 1.148786986886022
6, 1051153.968978501, 6840570.587558645, 18.880879389649802, 16.724114974664783, 6.359883307597072, 2.7966691676671096
6, 1051160.2759824235, 6840587.830266691, 11.797603527814505, 17.72465570918363, 6.359826244280309, 1.146128475366706
7, 1051121.5921976245, 6840582.749405302, 17.64516728726199, 18.898034095287862, 6.359720771495906, 1.2331595173553642
7, 1051137.3625405533, 6840577.586262725, 17.998959484975614, 12.533025128394055, 6.3597989575303915, 1.19410990904329
8, 1051102.4645589585, 6840589.664089717, 17.704158349265573, 18.431774458010988, 6.359816567588332, 2.825695902619864
9, 1051180.794020649, 6840579.37286659, 16.297360686520182, 18.999963901844875, 6.359658406190445, 1.1495878653929386
9, 1051176.540962477, 6840562.921812085, 15.818856939520714, 19.172199648948666, 6.359856941428265, 1.1753413918236126
10, 1051197.4965432996, 6840568.792092806, 5.352739952299141, 9.742093813461324, 6.359738220151613, 1.2657133487339207
10, 1051196.032085954, 6840554.680344542, 13.105739012108266, 11.768837860318904, 6.359602280768884, 1.1976278985806807
11, 1051143.076240583, 6840635.611774971, 12.396116843937211, 17.74700477731706, 6.359826459336221, 2.7255454670411394
12, 1051093.6816519266, 6840657.438359378, 14.59911428200125, 16.19085547718735, 6.359762504147564, 2.6914968254325093
13, 1051080.576274492, 6840638.815739578, 8.607722107562488, 9.243019985573277, 6.359830385005574, 2.8289641001445642
14, 1051109.138151509, 6840652.195464723, 12.411630973480719, 15.990015815651308, 6.359873074184762, 2.730868940093484
15, 1051198.453998712, 6840611.064389634, 12.341342326087892, 15.7601890676263, 6.359875651920387, 2.7390370289691512
16, 1051185.2323042576, 6840617.224775397, 13.197360238393461, 15.700999383412839, 6.359844403041869, 2.730150756543303
17, 1051092.4030124142, 6840620.200580113, 16.87853757799376, 7.967490387387616, 6.359699997110202, 2.7497795659059254
17, 1051076.6515214758, 6840626.516148662, 7.504481096410656, 11.452264647619636, 6.359861468096259, 1.1693579361538062
18, 1051131.1061508802, 6840638.770522871, 19.99280754758002, 9.161539595943488, 6.359726257917329, 1.15105083119436
18, 1051123.9714841628, 6840622.919178055, 7.517710567892455, 12.284299299838882, 6.359725802548278, 2.769034439084465
