idparcel,centerx, centery, length, width, height, orientation
0, 1051209.5165222902, 6840600.099950701, 19.99998156589922, 13.353361077936675, 7.189262010007173, 1.186744097710544
0, 1051200.6199346043, 6840582.234920162, 19.99994435928083, 9.16510077292661, 9.442645445910241, 1.2080551345950825
0, 1051207.4912689843, 6840579.5863159215, 5.564330544762557, 19.82681615317396, 6.5377933069561855, 2.7787855596457853
1, 1051172.6883022464, 6840626.869159201, 5.5732194211821575, 14.575485613128498, 6.494317397884979, 1.1547372334361372
1, 1051168.373924764, 6840615.725511031, 14.33647093643829, 18.487237347785037, 9.299455787253045, 2.7408088610444756
2, 1051154.2058058353, 6840622.9734787615, 16.111987361847003, 17.53353441651792, 9.278668227901951, 2.7310893170430206
2, 1051133.1176349556, 6840609.268126798, 17.13538654771929, 15.173298589037168, 10.50866135563945, 1.2254141759531665
2, 1051158.2385647874, 6840633.757223721, 14.778056634125617, 5.412151303138682, 6.464407038560603, 2.7287846931568396
2, 1051147.9052246644, 6840605.292103083, 19.97673740888571, 15.589481472795118, 10.508549880567513, 1.2079330203914644
3, 1051086.9411498324, 6840605.984830208, 19.969769480035406, 19.93993170042261, 10.508543294252693, 2.789991917539751
3, 1051082.3022510973, 6840593.081459433, 7.232766344807502, 19.964089256058983, 6.830149761968555, 1.2510555188338006
4, 1051071.6497620465, 6840612.507653088, 18.66279368855045, 11.230000942666466, 7.500832219035679, 1.1411408682736208
4, 1051065.331329015, 6840599.654629018, 16.1908171444388, 10.8141120256571, 6.27131871692808, 2.7991768824131227
5, 1051120.6629766622, 6840649.594471409, 6.445503563461049, 7.066879871428148, 6.250822541595658, 0.5934263061116534
5, 1051118.1015430985, 6840638.761387607, 18.442897307603463, 13.21059816050533, 9.460117970708017, 1.1560167767840968
5, 1051110.0120356411, 6840619.816611048, 12.702820128837716, 19.999995330198185, 10.508690933875528, 2.725044334979718
6, 1051152.3992272213, 6840567.342634573, 19.496770510611185, 6.790070273314958, 6.513608197402477, 2.777403439982776
6, 1051156.754722171, 6840578.345691876, 16.881515689682587, 19.972244261213888, 10.071830046789227, 1.2102627002151025
6, 1051163.135720036, 6840595.537716163, 19.545463962227434, 19.593691686842874, 10.508572593742073, 1.2069092654942328
7, 1051122.7430035186, 6840592.563544635, 19.571979084907095, 15.860375475635639, 10.50853257090399, 1.2237099417193453
7, 1051117.7524826617, 6840580.4147863565, 14.269415740312702, 6.724785575076345, 7.010745393063328, 2.810436464641605
7, 1051134.0766031821, 6840574.533678129, 18.51433655385269, 9.051490077155906, 6.308843924026961, 2.8170845943073335
7, 1051139.1663989369, 6840587.123659, 18.185886720671107, 18.535026730998112, 10.508709049170573, 1.2068509833156982
8, 1051101.2455191247, 6840586.340969697, 7.515385817633161, 19.82252596385905, 6.859081652172, 1.2268016083164148
8, 1051105.6946202714, 6840599.094314151, 19.42862722501859, 19.60570910710862, 10.50872361296108, 1.2235181034419993
9, 1051167.5022808004, 6840568.184170304, 6.336442480740603, 8.662740268619386, 9.171815655697293, 2.812129068047463
9, 1051183.140043704, 6840590.266633301, 13.904609117616033, 19.99998699340755, 10.50869590913665, 1.1489882503755708
9, 1051178.4285770121, 6840564.781029879, 19.999952158196322, 7.874289416934195, 9.536069347919256, 2.8126634044226653
9, 1051177.739905215, 6840576.970334918, 19.77876747891128, 14.74356620341759, 10.508490361243343, 2.798439448064376
9, 1051190.4017835483, 6840575.464769469, 19.999978757594405, 5.035405392543565, 10.508780602097069, 1.221891793612729
9, 1051176.0264407613, 6840558.230984997, 19.99992096707319, 6.075494107194649, 6.363741889396627, 2.8126576684935642
10, 1051195.1940138338, 6840562.814952908, 12.571032585735754, 19.99995427480866, 7.464058984403197, 2.787214264419017
11, 1051144.9212260926, 6840639.355605432, 12.758927603472742, 7.103643766863838, 6.3479570062469435, 2.716112620661888
11, 1051139.486786944, 6840627.4382283185, 13.970005240165692, 19.083619611135287, 10.057912295602968, 2.716699440057713
12, 1051085.0036887063, 6840648.530579016, 5.822702764666001, 9.39217440652012, 6.343228999484005, 2.624433844837462
12, 1051093.7493078862, 6840650.1951245135, 12.371019811676494, 19.999738251821494, 8.02805092939937, 2.720520111863916
12, 1051091.6905327374, 6840660.036232204, 7.398735100851407, 13.649924212253982, 6.286972578950409, 2.652172096356052
13, 1051097.0754426373, 6840631.0130629, 10.630994373501661, 18.377724319436705, 10.50859210285219, 1.1988330920570518
13, 1051084.1575088452, 6840636.904272666, 11.659297719389862, 10.570768228159645, 7.509560771240388, 1.1235946564925952
14, 1051105.4394981952, 6840644.028679137, 13.774390988141963, 17.664694389054834, 9.943757117098993, 2.727049050115746
14, 1051110.0440539874, 6840654.5314229475, 13.65353132292277, 5.165149056715818, 7.217603693153547, 2.7135630327790294
15, 1051199.128851596, 6840612.9604993025, 8.387560936876735, 13.952847232516987, 6.402384261469314, 1.1966504189252705
15, 1051194.9110217157, 6840601.863591088, 13.792952231197745, 15.33341195484075, 10.508778539964018, 2.744819350828663
16, 1051182.5337552847, 6840610.270872855, 19.671022363253797, 14.951038393196033, 8.355900514358314, 1.1978065888739748
16, 1051183.5792991046, 6840622.242988033, 7.454046534498636, 5.002223169438198, 6.2508275679176055, 2.5665852620331444
17, 1051091.994596759, 6840621.0141697815, 19.99994000215459, 11.411662084356452, 10.508748436412443, 2.7813983070701753
17, 1051077.8289488943, 6840626.612563936, 10.114724709358704, 11.324077224002869, 7.329751586825279, 2.6727414001326113
18, 1051121.909998613, 6840618.187678704, 19.962034821414303, 10.28576526223338, 10.50871411777314, 1.150861028687113
18, 1051129.6877225873, 6840635.439674667, 10.301911793689374, 17.913562509360645, 8.681918811585135, 2.7123047195905383
