idparcel,centerx, centery, length, width, height, orientation
0, 1051205.8340366818, 6840599.965621593, 11.891751137189926, 9.084092614845265, 16.14545741615392, 1.2177699107842412
0, 1051200.2270830004, 6840584.999814938, 8.782725546715389, 19.99999816400967, 16.242996890780176, 2.7846854119278395
1, 1051167.5104526521, 6840613.55147915, 16.637620973960857, 14.541369049279616, 19.17475683694662, 2.7256259171272634
2, 1051152.2884594917, 6840618.455480035, 18.476397167460345, 13.140464155709074, 22.1126436625741, 2.7294161007211124
2, 1051130.5563179015, 6840610.332695882, 13.356583594495824, 16.898533947828554, 23.999961916458773, 2.7413247494792654
2, 1051146.254979678, 6840604.183263486, 17.390230807011758, 19.802069074597682, 23.99977718804972, 1.2075050531993685
3, 1051087.60056116, 6840609.493778538, 15.065300305424337, 19.999832575726824, 23.89575049747727, 1.2206112248185494
3, 1051083.4620838799, 6840599.2108635325, 7.094625249606942, 19.999643589605874, 16.144802362974183, 1.2269688942743566
4, 1051074.0609860392, 6840609.671607152, 7.664407190612758, 19.999672091506174, 16.157724536868916, 2.715102821089151
5, 1051114.9239790498, 6840630.164401561, 13.795579387950191, 17.973174313732237, 23.999883927255013, 2.7258891548105573
5, 1051118.8782586972, 6840641.812339634, 6.597642779790457, 13.75933165225332, 17.569406341315528, 1.1808413862351557
5, 1051109.0234082527, 6840615.900173368, 13.0140206086214, 12.82773523554279, 23.999625506668465, 2.7191958844326596
6, 1051168.0575935117, 6840597.318938452, 14.031210640308332, 13.458118775176795, 23.99973400002354, 1.161393276404042
6, 1051162.7524477767, 6840573.693034059, 6.69142510672058, 8.134678406594068, 19.12669325583309, 1.227064127967173
6, 1051150.6263689313, 6840575.602297418, 11.917901032489793, 6.402845786756628, 16.6535006607507, 2.7822062699689476
6, 1051158.0841437506, 6840601.284608347, 15.02195671546557, 8.036125251273939, 23.999606163787252, 1.1893929071860225
6, 1051158.2284301613, 6840584.803267855, 16.069182099495414, 19.996716516841982, 23.77951489448507, 1.223117229763023
7, 1051123.861952032, 6840595.2229368575, 18.62243717921533, 14.396324999302607, 22.954869663125482, 2.801503472080542
7, 1051121.1139473394, 6840585.427947206, 19.969669882850692, 5.906618778041345, 16.437043570627406, 2.801589700175014
7, 1051141.1107121012, 6840588.671804163, 18.21786989002908, 14.808261953626804, 21.967301293185393, 2.7773733653534864
7, 1051138.4500300218, 6840579.710335722, 16.53123791441869, 5.000018694968492, 17.280836111592507, 2.8015544982070963
8, 1051112.1692651438, 6840598.160520383, 17.28653393778025, 9.319748785268793, 20.098355415897814, 1.226861739022973
8, 1051101.5070896582, 6840600.773686645, 19.78413023107423, 12.578904513478134, 17.432523629431024, 1.221853645021273
9, 1051171.4464679789, 6840569.671139277, 14.809526601441357, 8.076548156273827, 17.28248371672786, 2.8089389199421415
9, 1051177.697092122, 6840582.079588211, 19.567761257456144, 18.22087341974121, 23.99980131399137, 1.2234644697332047
9, 1051185.0764743113, 6840568.177965514, 11.921120304163692, 15.435835325657159, 16.48204045186786, 2.8003531541655255
9, 1051189.0299968433, 6840589.82111847, 18.55636901729936, 6.96392992997919, 23.9998479316843, 2.5226874041543326
9, 1051190.918346661, 6840579.13761045, 8.626755629398374, 9.158245762330345, 23.999900777538357, 2.794484177910519
9, 1051177.6585678891, 6840596.8641140675, 5.39533660509285, 7.2968807807111284, 23.999950936352533, 1.0324705956858986
10, 1051193.1075181873, 6840565.8783319425, 8.517510833577061, 16.938233813144244, 16.121094765918492, 2.7808491021781925
11, 1051141.8169579348, 6840632.774507614, 15.899560165063377, 5.7153926713784475, 16.848878732410668, 2.717579516293699
11, 1051138.1044814626, 6840624.31538135, 13.166014323835252, 15.882254105562804, 22.70002430402684, 1.1756153657489437
12, 1051095.157689546, 6840647.662509827, 9.622994389322178, 18.515648366105722, 16.1470681429658, 2.691234606718343
13, 1051097.0424480361, 6840630.892292218, 12.289366086147936, 18.582326728738867, 21.684482363287586, 1.139880921222631
13, 1051086.8000181082, 6840635.70067251, 13.998841385106875, 6.129618907568153, 16.164854235970964, 1.124869785533375
14, 1051104.8302925143, 6840642.568225702, 15.831937313570624, 15.06627186780354, 18.87999222781825, 2.722164916676393
15, 1051194.808471443, 6840601.123943272, 15.97810186702065, 14.76337027530086, 18.896305055315292, 2.718950155385163
16, 1051181.7342503483, 6840608.235614125, 16.590850368668793, 16.47621419332455, 16.840518587238137, 1.143623270905346
17, 1051093.3258992906, 6840620.506175867, 13.402986097517353, 19.39801515105067, 22.61111877776142, 1.2078301280608108
17, 1051083.178102949, 6840624.648449192, 11.046111693851422, 6.812040536501956, 16.786088476028866, 0.7878072395054636
18, 1051125.1635911237, 6840625.372393677, 12.360655110048508, 19.99689579616846, 23.99920692763746, 2.7173434052239154
18, 1051118.7484394233, 6840611.183718874, 12.246851934465909, 11.218790596424913, 23.999883150502214, 2.7255531468752445
