idparcel,centerx, centery, length, width, height, orientation
0, 1051205.7993376574, 6840585.316296212, 6.892281860256585, 19.45578284040197, 18.847412183455127, 2.7847428337556765
0, 1051212.0499922864, 6840600.906360296, 8.116775029154754, 14.954350257400556, 16.295715305837664, 2.7824161325965506
3, 1051085.3518225497, 6840601.556831607, 19.401292772959145, 10.19870743690958, 21.10645198120504, 1.2291932553221614
4, 1051061.794900264, 6840601.776916562, 10.985255421777035, 5.500199018192452, 10.288260542374008, 1.406689188069862
4, 1051067.4777155365, 6840607.124185285, 19.966008272644142, 6.309198855599417, 17.934280841734118, 1.1885073865392997
6, 1051162.1361667663, 6840592.818909935, 13.728290110903757, 9.671131384861361, 21.201006500402247, 1.1892295484753208
6, 1051156.1653156886, 6840577.007792651, 10.233470283610874, 19.999914937750802, 21.2009945459736, 2.767069532083661
7, 1051136.7242758302, 6840582.134521234, 16.754023792913166, 9.589373162212384, 21.201028125374506, 1.1995331215242957
7, 1051125.2938500552, 6840586.308804024, 14.982469637765114, 17.04751016762955, 21.200951261204764, 2.7851600838752075
7, 1051126.264172629, 6840575.610513822, 13.455507911930148, 5.00012291009244, 10.565908033583305, 2.774342906942099
8, 1051104.049600635, 6840593.893732919, 17.491594977991813, 9.846654033810054, 20.991459210727044, 1.2309482992556453
9, 1051181.5094981112, 6840580.0267092, 19.99990937404444, 14.813362180932334, 21.201024811859025, 1.2255924623716465
9, 1051176.132395871, 6840565.21730182, 14.572050993726599, 11.306647440405763, 21.043234017396806, 2.810368214431573
10, 1051196.8717984224, 6840558.945987954, 16.039631748833784, 8.19719261824446, 13.876127264285621, 1.2028750397225008
12, 1051092.3675092717, 6840654.872850478, 8.105398130378521, 17.131277785299247, 16.481395048500566, 2.674340493966407
