idparcel,centerx, centery, length, width, height, orientation
0, 1051206.923080602, 6840598.8920956515, 11.62875380579272, 18.1013571422827, 6.985999483797877, 2.778015029688869
0, 1051199.7855056315, 6840581.3264018055, 19.816058347279387, 10.442520302663585, 8.013370504069686, 1.213617461857464
0, 1051207.1510485306, 6840578.683212884, 19.94810425318838, 5.239021056561208, 2.793821537844856, 1.2080485344853156
0, 1051213.1616271809, 6840607.26945211, 17.324096939970964, 10.243223116829338, 2.054444638731122, 2.7007196208085418
1, 1051169.9192644474, 6840619.599143653, 16.71586592184775, 10.230496860470785, 8.026524901690046, 2.7268769368404517
1, 1051173.0382502917, 6840627.636146903, 16.72402117760701, 6.993833560855908, 2.0544551397570765, 2.7219965940816206
2, 1051154.280674028, 6840610.211932238, 9.369300108037239, 17.181293881483196, 19.731970814406154, 2.7768856970912332
2, 1051153.3981314122, 6840632.510573676, 5.000194586858926, 9.079143398369695, 6.036453276906872, 1.1481433500959972
2, 1051161.9380109305, 6840629.491945211, 6.08595950406534, 8.97120368137821, 4.606206304074422, 1.1464388530433351
2, 1051154.8186103294, 6840624.321071112, 9.172026485571848, 18.38243864279163, 10.743228502254546, 1.1487912285889132
3, 1051080.4630850544, 6840593.813865582, 5.068946872586798, 18.153428282728285, 4.382555363655148, 1.2083508263087306
3, 1051087.2060407505, 6840609.195547897, 19.999960027998807, 15.80426946025666, 16.041281674779352, 2.800286195553513
3, 1051085.0390233274, 6840597.519363815, 19.999585445819545, 7.647462608932687, 8.314982829536886, 2.8002092986808917
4, 1051073.2295681057, 6840609.088390051, 8.583603512474218, 19.999875503035415, 8.774127375555109, 2.710768012450231
4, 1051067.3686952095, 6840598.848438452, 5.025820382048419, 8.053719366676962, 3.9227575892310758, 0.9400318578228622
4, 1051061.8756638542, 6840604.964372548, 8.650811421974879, 19.999895696592333, 2.0544575108143883, 2.6609236298591803
4, 1051068.8152165131, 6840618.880629741, 11.092866331481092, 8.005357685256072, 2.054447242309534, 1.088885019427981
5, 1051117.715724355, 6840626.097949817, 19.97680701107664, 5.351509568694517, 19.304097889859968, 1.1792352480935562
5, 1051119.6475582118, 6840642.664577401, 15.16293540861089, 10.011611140775825, 8.292874135273403, 2.7278877880231005
5, 1051119.7488614838, 6840649.388853161, 7.58984480796491, 6.4972644668772945, 2.3918629107700475, 2.0906376824131714
6, 1051160.7704584547, 6840569.945761054, 9.342074492280448, 11.513319511046866, 5.708564817693556, 2.793607614238716
6, 1051159.967543361, 6840589.669043604, 16.406772260237002, 19.99991544498164, 21.471014672391693, 1.2024774254227866
6, 1051148.9218548383, 6840570.585319762, 13.37169461778736, 7.230590605833095, 4.4193975154640786, 2.793069622760932
6, 1051155.2157162197, 6840577.377321665, 9.938369961083868, 19.999955186070014, 11.645033327614206, 1.22286302788503
7, 1051142.859046979, 6840583.544164644, 5.973223309404604, 11.267256889421848, 15.246102100939202, 1.2105911413964328
7, 1051128.7522275837, 6840588.302924875, 18.387682660174637, 6.563152050268098, 14.855869449649248, 2.8058985931196907
7, 1051116.5505983345, 6840591.87616018, 7.051310433960383, 8.679207598199344, 13.11543324773057, 2.8040712135293373
7, 1051133.723626707, 6840572.481178899, 7.426246309000167, 19.99980649164178, 2.054389702825668, 1.2346851124958076
7, 1051136.7037239894, 6840578.970316935, 6.791761138828784, 19.204016222800767, 8.529993424320018, 1.2346643175531777
7, 1051119.333438241, 6840582.9851494385, 18.12018140175296, 9.485140388969779, 5.06484288329294, 2.817324471833067
8, 1051103.838583936, 6840595.29957256, 11.00287218196978, 19.99991161128919, 10.883064652932335, 1.226522206853551
8, 1051100.737670207, 6840587.3235681, 19.99973498855057, 6.105499021976938, 4.725166701512262, 2.7975578899945623
9, 1051181.6803190415, 6840557.762930534, 11.133395098471615, 8.344759793552306, 2.545916495124747, 2.812353054241657
9, 1051187.7108494472, 6840567.580319065, 10.663697381827387, 6.723286621474367, 12.66660641106985, 1.218691850681644
9, 1051177.6703751655, 6840579.785727724, 19.644534412668413, 18.958200742760273, 16.91174028685775, 2.8121292444888404
9, 1051168.774747428, 6840561.327061643, 5.59354818123602, 15.569215213465142, 2.9834419441359437, 1.2223382888912728
9, 1051173.2349043242, 6840566.853601817, 8.386087565150998, 19.99995085440309, 8.452563735645743, 1.241490508978416
9, 1051191.3216114074, 6840578.2771804165, 11.95528499676133, 7.276682638322189, 23.42158356965023, 1.226413992321645
10, 1051194.0241819043, 6840564.069617201, 11.43859623558087, 19.996938864324484, 6.635398109863817, 2.7790092047436845
10, 1051201.7051321298, 6840560.285072282, 19.999895185990166, 5.636449636897564, 2.0543986190868297, 1.1994026203536872
11, 1051141.3836789646, 6840631.627227916, 16.054142251092397, 11.481521460388334, 8.62632167523328, 2.717241678333458
11, 1051145.2832588535, 6840640.288581046, 7.518657441469062, 16.028879422538534, 2.0544112822064857, 1.1459402925976394
12, 1051094.6679823275, 6840649.069848877, 19.99987028440776, 11.503760422289744, 7.551062563798378, 1.1238276366909208
12, 1051086.5809743665, 6840647.813573642, 11.729703325288023, 6.164841547412571, 3.982142525501473, 1.086940064878884
12, 1051092.5851627425, 6840660.245431914, 6.381884747664884, 11.570224560019266, 2.116909753475823, 2.420357855710006
13, 1051085.377962471, 6840632.250299818, 5.226646370309212, 9.803350906052454, 8.004946849744035, 0.8510472159506314
13, 1051080.3119629214, 6840638.6788383145, 9.500168835317718, 13.489898389764672, 2.05442200214015, 2.647260212663067
14, 1051106.9385287396, 6840647.304052956, 8.172412246139503, 15.822008979367242, 10.41025916210783, 1.1493776790189019
14, 1051109.557716799, 6840653.297008793, 5.000007654390712, 15.788536299183008, 5.393167378503573, 1.1528911813946319
15, 1051196.6407689778, 6840606.161493266, 8.039012284010248, 16.10514545989293, 10.114417402912032, 1.1565264901870826
15, 1051199.3505568844, 6840613.3101463495, 15.90202044865081, 7.152470387062481, 2.9678987782611808, 2.7113436266960043
16, 1051183.8230650956, 6840618.620861772, 7.0590101182191205, 13.574258090514208, 4.457197872255587, 1.1803190400706365
16, 1051183.4229538569, 6840612.618611354, 16.715505759881893, 8.82982950136686, 9.499753979211771, 2.7042818638642685
17, 1051095.948588136, 6840619.492902557, 12.991758908029198, 14.205383081680186, 21.315147701646026, 1.1625882761764317
17, 1051077.8678029212, 6840626.705437619, 13.56629955944953, 6.560743553156799, 6.1013280496069076, 1.0742959789863717
17, 1051085.0593120418, 6840623.551633166, 8.41883494278812, 13.246704032798958, 12.525955759022303, 2.733180882493257
18, 1051130.355803222, 6840637.044598902, 12.49720835658971, 11.238876432274397, 8.353515005045073, 2.7191824849978485
18, 1051124.0596929106, 6840622.931082087, 19.671084022030996, 12.353334207575045, 19.690900321535132, 1.1486493072175128
18, 1051132.78026224, 6840643.040872127, 6.067434225650185, 10.548409788200255, 2.6365749615757457, 0.7268025068555344
