idparcel,centerx, centery, length, width, height, orientation
0, 1051209.3575596558, 6840598.184929818, 19.999845518837443, 9.350689427729009, 23.99985165837962, 1.212829695553622
1, 1051170.6348020642, 6840621.52124777, 9.261416096435301, 11.377570863016103, 23.205706294574707, 2.765885473255148
2, 1051155.9177648474, 6840627.194850118, 10.26306667225083, 13.64539255407145, 23.79542357161399, 2.7073407020388998
3, 1051084.6436194775, 6840600.507416987, 11.474409067904876, 15.449140637462628, 23.999871725803487, 2.647808117551945
4, 1051068.0215888685, 6840604.800670665, 8.946690776252677, 15.702313331057082, 23.607862023598774, 2.7981851421126094
5, 1051120.868221457, 6840644.884511882, 13.361488498553811, 7.560299462921014, 20.303188014400728, 1.1527288783922642
6, 1051156.4083227841, 6840577.40658673, 14.487772374923667, 19.240360000264243, 23.999847628941318, 2.7739013847634775
7, 1051125.5932180237, 6840583.426261189, 13.63873068174552, 17.553781560882182, 23.999869788999497, 1.2318739285267646
7, 1051138.9967772323, 6840580.012633356, 6.968532430146881, 8.249027913571712, 23.999533446062365, 2.757827297876425
8, 1051103.231930037, 6840592.280004474, 13.170391973015796, 13.15839082373136, 23.999890378952482, 1.165291642718165
9, 1051179.5341861115, 6840575.621482056, 16.943598458119613, 19.211697619965605, 23.999962917311283, 2.8170294131351072
10, 1051195.6737376638, 6840560.392640881, 7.85169251683486, 13.95969879246106, 23.99996819350388, 2.7706693638290187
11, 1051142.175076928, 6840633.3358766055, 13.359219619131947, 7.974476432218792, 23.999843917983398, 1.1878946048299335
12, 1051092.1553188623, 6840650.235022006, 9.76117783311504, 12.860354635016812, 23.999994509298883, 2.7236714833017186
14, 1051109.3059147536, 6840652.108449793, 15.832576139199816, 6.702161010818755, 14.999957582300766, 1.1589398008532203
15, 1051197.6808265557, 6840608.920754933, 10.82168201793288, 8.563910582039167, 23.99945012576281, 1.2069924490994342
16, 1051184.3671699762, 6840615.069754797, 10.915022190989887, 9.436541477907877, 23.95766328134398, 1.1947162591621878
