idparcel,centerx, centery, length, width, height, orientation
0, 1051209.5650959366, 6840600.3008854315, 16.465985113255474, 10.693549473676605, 16.908925030671718, 1.2046192830418898
0, 1051216.6394832183, 6840606.303705642, 7.401322241294806, 6.301520141372322, 7.379568152554077, 2.649632532223761
0, 1051207.5662151787, 6840581.485553712, 19.999588775912134, 5.102625357067586, 8.48357406441649, 1.2960819003155886
0, 1051202.204528057, 6840583.578899646, 19.999823754749947, 8.220644227974425, 23.625722829744383, 1.20986204977909
1, 1051172.802394615, 6840626.952682517, 11.670058088521952, 5.413203654415166, 7.961751823982891, 2.744647624848003
1, 1051168.4865501784, 6840615.79374406, 18.3579300213446, 11.885340489247822, 23.862417231791905, 1.2042306179914446
2, 1051154.382988754, 6840622.575999119, 17.93643475595231, 13.053360830777077, 23.999913403984106, 1.19633221701725
2, 1051157.087061305, 6840632.1947121965, 7.532534658614322, 6.2641565600589235, 8.842351027213008, 2.1884345410517914
2, 1051147.2817782934, 6840605.202473166, 13.757227903800194, 19.57891093137672, 23.999834104448432, 2.7723228855167785
2, 1051133.3468152331, 6840608.489476768, 14.470420237908526, 15.815004672770652, 23.99995028337614, 2.7771430149149685
3, 1051082.3991426732, 6840593.415238834, 6.975407780996033, 15.916423284114586, 7.419973130590334, 1.4477415959321227
3, 1051086.3997006193, 6840604.51047233, 17.17526727620436, 19.999990716008423, 23.99993733509739, 2.8001054120225177
4, 1051071.0692049218, 6840617.577721247, 9.757940621041532, 5.9993509087044, 7.716310796671253, 2.834137512051161
4, 1051059.8608565922, 6840600.64254186, 5.353727953792411, 7.102542948795783, 9.209416186732948, 2.693822234064545
4, 1051068.7665485865, 6840607.5428264495, 9.328214313737817, 19.999819464842712, 17.356078260576027, 2.6661312012171208
5, 1051121.2589692813, 6840649.388637501, 5.281790284798223, 5.807295872866401, 9.69035711577309, 0.7128321671326268
5, 1051117.797330178, 6840638.1287724795, 10.234698336899472, 19.999957838596973, 23.999962182264326, 2.725710734306137
5, 1051109.8144813064, 6840619.770283221, 9.907700856732014, 19.999965245529083, 23.99999883111055, 2.7291544044342535
6, 1051156.8663661678, 6840578.13408436, 19.533438213089855, 17.084178645698877, 23.999848405913987, 1.226248349189026
6, 1051151.8689963685, 6840566.85410105, 12.25072364711889, 5.190376991898473, 9.02434891628853, 2.7716633949656226
6, 1051163.4728377303, 6840596.161109847, 18.510915304328936, 16.428551313441815, 23.999974270538935, 1.2097301615348706
7, 1051125.2412750872, 6840590.015869967, 19.998957166599936, 19.624177577429812, 23.999938314636488, 1.2318864958024962
7, 1051131.625322919, 6840574.395145062, 19.994211888679157, 5.907098206612265, 9.485918183113847, 2.8042237212839374
7, 1051140.3658697433, 6840585.816868489, 12.139131342239255, 19.99874515944222, 23.999960198125624, 2.7859006774429043
8, 1051105.7330776248, 6840598.738124411, 16.844662209560116, 19.999948845721704, 23.99991835690932, 2.801558313071096
8, 1051101.4518119227, 6840586.797219541, 5.213604312035385, 16.94752089272992, 15.371239194695548, 1.2270879497882168
9, 1051171.772657851, 6840560.116045781, 16.889830158873764, 5.690826435820728, 8.981998397035266, 2.796397022366025
9, 1051178.174734394, 6840569.086803354, 17.008362913470577, 19.99873350902734, 23.999867677460024, 1.2390549154670818
9, 1051183.7945152188, 6840586.739190197, 19.999396333712003, 19.851454453287293, 23.99992211273997, 2.7178427534347085
10, 1051195.335428399, 6840561.362556552, 19.56006025199826, 10.702858132961607, 14.868178093870867, 1.21183403503792
11, 1051139.7636449204, 6840628.009243125, 19.999961742544123, 11.020725936736493, 23.999949795922806, 1.1468636487374086
11, 1051144.483027458, 6840638.783127799, 9.531333591423682, 5.934059605216072, 7.898619747257584, 2.4494248093474544
12, 1051093.8008279046, 6840651.700243054, 19.645545832921115, 10.328195239353851, 18.661386295445535, 1.1359272169315224
13, 1051087.9019582188, 6840635.304258032, 13.54577290491056, 8.520024467703404, 21.81178756736267, 2.7171312622110997
13, 1051079.983605157, 6840638.088139, 6.22658960852372, 5.009416748508131, 8.761840367212951, 0.8627630928288725
13, 1051100.0812940258, 6840630.551338674, 12.437282602413905, 9.04089306028196, 23.999932796939508, 2.7797718347006497
14, 1051110.1894205026, 6840654.880570694, 5.125373043451012, 10.564035055083458, 11.224141866485347, 1.1289071422429495
14, 1051105.755560538, 6840644.635645846, 19.079192911701295, 10.75266302871113, 23.998687532519966, 1.1566696208806047
15, 1051199.479997241, 6840613.828009539, 5.248938596139634, 10.77691239739867, 10.503517708574226, 1.1632936060830799
15, 1051195.5219460805, 6840603.003170322, 17.585605180844674, 11.14100836460854, 23.999973419216083, 1.2161631392775625
16, 1051186.3308197332, 6840620.298411462, 5.0663525033542385, 11.938681958723294, 9.497578998110548, 1.1728587110580593
16, 1051182.2223854412, 6840609.437959606, 11.910321708156445, 18.16976003847148, 23.99997173186764, 2.769805323862854
17, 1051077.9803566101, 6840626.5317136, 6.114981417424284, 7.113644088062625, 17.582973414233116, 2.3735092868691825
17, 1051088.8237165918, 6840622.189910085, 8.401727923930833, 19.999797031399527, 23.999960764886247, 1.2116951517495245
18, 1051118.4849076117, 6840610.61995936, 7.284398324612498, 6.697471881509907, 23.999823735681797, 1.2215577885955893
18, 1051130.3171825556, 6840637.191952451, 7.283294259474964, 12.075040472649036, 23.99607750613677, 2.7230539743901274
18, 1051133.6809383875, 6840644.514949254, 5.733038867067634, 7.419847786961341, 9.471278457253694, 1.1345612633538922
18, 1051123.9447373657, 6840622.760792932, 7.275049762403778, 19.47559372318237, 23.999998057073732, 2.7232006349299165
