idparcel,centerx, centery, length, width, height, orientation
0, 1051205.9000178233, 6840584.72545106, 8.878207128162213, 19.934988655160574, 20.08414313329955, 2.7806868675133725
0, 1051213.9120687395, 6840602.019710572, 18.584521113073883, 12.5084212793613, 14.999984671756957, 1.218265558134184
2, 1051137.9928077727, 6840605.592734293, 19.999818697365033, 12.960267105990793, 23.999984974347782, 2.78338171640661
2, 1051158.2898245482, 6840632.205434588, 11.215591530671691, 7.367807606254655, 14.999949331845464, 1.1931688927986557
2, 1051152.391377048, 6840617.749712337, 7.9201513493839295, 19.999591035281732, 23.999784954102257, 2.7691672971733086
3, 1051085.5492326375, 6840602.1240625195, 11.771978413843781, 19.780389678081974, 23.99968898812006, 2.7999463403757665
3, 1051081.269634884, 6840590.143463521, 5.678047749502278, 11.716115088112003, 14.999804796113846, 1.2299423901610869
4, 1051062.1677752403, 6840599.90421898, 11.213135422299843, 13.76758258741268, 14.999959743734083, 1.216835564460611
4, 1051067.6667631273, 6840611.561900488, 14.49650397911991, 11.183672771154525, 14.999958203243516, 1.2217670193717296
6, 1051163.14862386, 6840595.113718541, 11.201227667986219, 19.999798235394895, 23.999974358911967, 2.7933037177976514
6, 1051151.7787355832, 6840564.990973241, 5.262159055834147, 12.373120226777898, 14.99987505894384, 1.2143335911996995
6, 1051156.046975716, 6840576.636795569, 19.63598857623705, 11.817484779436697, 23.999981914901422, 1.1979427028621008
7, 1051141.8734036074, 6840587.634890998, 5.236546018806035, 14.622774582595731, 23.99993958358783, 2.734213550480967
7, 1051130.726245969, 6840588.999286437, 19.999886723907256, 19.999904342714252, 23.99976107749673, 1.217138138571976
7, 1051123.5322151065, 6840576.513400135, 8.301329182753198, 19.999850982268573, 14.99994883199825, 1.2302885809026602
7, 1051135.823712011, 6840572.6135467645, 9.083803683272652, 5.820343002333182, 14.999846418495249, 1.2094422798748492
8, 1051105.5811927957, 6840598.3026331, 19.999979648712458, 11.461448163630873, 23.99997226178464, 1.231008652235533
8, 1051100.771566599, 6840584.824073421, 8.675296060466618, 11.546901912244731, 14.99992985029686, 1.2305649977962965
9, 1051183.5768199863, 6840585.611200106, 19.99950941885391, 16.270591706322747, 23.999925082491064, 1.2191792762644202
9, 1051173.281505364, 6840557.424231534, 16.287783305629194, 5.043129651495737, 14.999984804995197, 2.7931407369653547
9, 1051177.1466241719, 6840568.006177629, 16.289553019258307, 17.489925645174274, 23.999947831113044, 2.793014109869368
10, 1051197.354156367, 6840557.475972981, 11.671883353938666, 19.99996978875077, 14.999964895213722, 2.775795144755972
11, 1051140.4315432366, 6840629.500257613, 5.633108583061636, 19.99979365493641, 23.99998602235975, 2.717379771380438
12, 1051091.479774162, 6840655.92275461, 12.662868611902837, 19.999968553006294, 14.999923082917256, 2.7044700636947065
16, 1051182.614926988, 6840610.509172484, 6.410480351890678, 19.921175759864724, 23.999979922452948, 2.7623287590504852
